Designator,Mid X,Mid Y,Rotation,Layer
C1,147.721,-84.328,0.0,top
C2,164.846,-139.75938,90.0,top
D1,169.164,-124.841,90.0,top
J1,173.784,-133.667,90.0,top
R1,166.624,-96.774,180.0,top
R2,166.624,-101.473,180.0,top
R3,166.624,-106.045,180.0,top
R4,166.751,-111.633,180.0,top
R5,166.624,-116.332,180.0,top
R6,163.576,-133.223,0.0,top
SW1,177.025,-79.99,270.0,top
SW2,177.0745,-90.531,270.0,top
SW3,177.0745,-101.072,270.0,top
SW4,177.025,-111.729,270.0,top
SW5,177.0745,-122.281,270.0,top
U1,144.018,-95.225,0.0,top
U2,151.003,-78.232,270.0,top
